Team,Down & Distance,Run %,Pass %,Total Runs,Total Passes,Total Plays
ARI,1st & 10+,48% (207/432),52% (225/432),207,225,432
ARI,1st & < 10,62% (18/29),38% (11/29),18,11,29
ARI,2nd & Long (7+),42% (89/211),58% (122/211),89,122,211
ARI,2nd & Medium (4-6),41% (32/79),59% (47/79),32,47,79
ARI,2nd & Short (1-3),59% (30/51),41% (21/51),30,21,51
ARI,3rd & Long (7+),11% (13/120),89% (107/120),13,107,120
ARI,3rd & Medium (4-6),9% (5/56),91% (51/56),5,51,56
ARI,3rd & Short (1-3),57% (27/47),43% (20/47),27,20,47
ARI,4th & Long (7+),8% (1/12),92% (11/12),1,11,12
ARI,4th & Medium (4-6),0% (0/6),100% (6/6),0,6,6
ARI,4th & Short (1-3),50% (8/16),50% (8/16),8,8,16
ATL,1st & 10+,56% (248/445),44% (197/445),248,197,445
ATL,1st & < 10,70% (19/27),30% (8/27),19,8,27
ATL,2nd & Long (7+),32% (70/219),68% (149/219),70,149,219
ATL,2nd & Medium (4-6),51% (46/90),49% (44/90),46,44,90
ATL,2nd & Short (1-3),69% (37/54),31% (17/54),37,17,54
ATL,3rd & Long (7+),8% (9/109),92% (100/109),9,100,109
ATL,3rd & Medium (4-6),15% (8/55),85% (47/55),8,47,55
ATL,3rd & Short (1-3),57% (35/61),43% (26/61),35,26,61
ATL,4th & Long (7+),0% (0/2),100% (2/2),0,2,2
ATL,4th & Medium (4-6),25% (1/4),75% (3/4),1,3,4
ATL,4th & Short (1-3),54% (7/13),46% (6/13),7,6,13
BAL,1st & 10+,49% (221/450),51% (229/450),221,229,450
BAL,1st & < 10,81% (26/32),19% (6/32),26,6,32
BAL,2nd & Long (7+),30% (64/211),70% (147/211),64,147,211
BAL,2nd & Medium (4-6),53% (47/88),47% (41/88),47,41,88
BAL,2nd & Short (1-3),66% (41/62),34% (21/62),41,21,62
BAL,3rd & Long (7+),7% (6/89),93% (83/89),6,83,89
BAL,3rd & Medium (4-6),8% (5/59),92% (54/59),5,54,59
BAL,3rd & Short (1-3),64% (37/58),36% (21/58),37,21,58
BAL,4th & Long (7+),0% (0/3),100% (3/3),0,3,3
BAL,4th & Short (1-3),80% (8/10),20% (2/10),8,2,10
BUF,1st & 10+,48% (219/457),52% (238/457),219,238,457
BUF,1st & < 10,81% (25/31),19% (6/31),25,6,31
BUF,2nd & Long (7+),20% (39/199),80% (160/199),39,160,199
BUF,2nd & Medium (4-6),48% (48/100),52% (52/100),48,52,100
BUF,2nd & Short (1-3),69% (48/70),31% (22/70),48,22,70
BUF,3rd & Long (7+),4% (4/89),96% (85/89),4,85,89
BUF,3rd & Medium (4-6),7% (4/55),93% (51/55),4,51,55
BUF,3rd & Short (1-3),66% (49/74),34% (25/74),49,25,74
BUF,4th & Short (1-3),38% (6/16),62% (10/16),6,10,16
CAR,1st & 10+,47% (202/427),53% (225/427),202,225,427
CAR,1st & < 10,59% (10/17),41% (7/17),10,7,17
CAR,2nd & Long (7+),30% (62/209),70% (147/209),62,147,209
CAR,2nd & Medium (4-6),58% (49/85),42% (36/85),49,36,85
CAR,2nd & Short (1-3),61% (34/56),39% (22/56),34,22,56
CAR,3rd & Long (7+),2% (3/128),98% (125/128),3,125,128
CAR,3rd & Medium (4-6),6% (3/48),94% (45/48),3,45,48
CAR,3rd & Short (1-3),47% (34/73),53% (39/73),34,39,73
CAR,4th & Long (7+),0% (0/14),100% (14/14),0,14,14
CAR,4th & Medium (4-6),0% (0/7),100% (7/7),0,7,7
CAR,4th & Short (1-3),44% (12/27),56% (15/27),12,15,27
CHI,1st & 10+,50% (218/434),50% (216/434),218,216,434
CHI,1st & < 10,59% (17/29),41% (12/29),17,12,29
CHI,2nd & Long (7+),44% (97/220),56% (123/220),97,123,220
CHI,2nd & Medium (4-6),46% (42/91),54% (49/91),42,49,91
CHI,2nd & Short (1-3),62% (30/48),38% (18/48),30,18,48
CHI,3rd & Long (7+),9% (10/116),91% (106/116),10,106,116
CHI,3rd & Medium (4-6),18% (12/65),82% (53/65),12,53,65
CHI,3rd & Short (1-3),54% (30/56),46% (26/56),30,26,56
CHI,4th & Long (7+),0% (0/4),100% (4/4),0,4,4
CHI,4th & Medium (4-6),0% (0/5),100% (5/5),0,5,5
CHI,4th & Short (1-3),65% (11/17),35% (6/17),11,6,17
CIN,1st & 10+,42% (179/424),58% (245/424),179,245,424
CIN,1st & < 10,57% (20/35),43% (15/35),20,15,35
CIN,2nd & Long (7+),22% (45/207),78% (162/207),45,162,207
CIN,2nd & Medium (4-6),33% (26/78),67% (52/78),26,52,78
CIN,2nd & Short (1-3),52% (28/54),48% (26/54),28,26,54
CIN,3rd & Long (7+),10% (11/108),90% (97/108),11,97,108
CIN,3rd & Medium (4-6),2% (1/41),98% (40/41),1,40,41
CIN,3rd & Short (1-3),34% (22/65),66% (43/65),22,43,65
CIN,4th & Long (7+),0% (0/3),100% (3/3),0,3,3
CIN,4th & Medium (4-6),0% (0/5),100% (5/5),0,5,5
CIN,4th & Short (1-3),45% (5/11),55% (6/11),5,6,11
CLE,1st & 10+,49% (230/465),51% (235/465),230,235,465
CLE,1st & < 10,56% (14/25),44% (11/25),14,11,25
CLE,2nd & Long (7+),32% (78/246),68% (168/246),78,168,246
CLE,2nd & Medium (4-6),55% (50/91),45% (41/91),50,41,91
CLE,2nd & Short (1-3),66% (41/62),34% (21/62),41,21,62
CLE,3rd & Long (7+),7% (9/132),93% (123/132),9,123,132
CLE,3rd & Medium (4-6),16% (9/56),84% (47/56),9,47,56
CLE,3rd & Short (1-3),56% (35/63),44% (28/63),35,28,63
CLE,4th & Long (7+),0% (0/10),100% (10/10),0,10,10
CLE,4th & Medium (4-6),0% (0/6),100% (6/6),0,6,6
CLE,4th & Short (1-3),75% (12/16),25% (4/16),12,4,16
DAL,1st & 10+,46% (207/446),54% (239/446),207,239,446
DAL,1st & < 10,55% (21/38),45% (17/38),21,17,38
DAL,2nd & Long (7+),30% (62/206),70% (144/206),62,144,206
