Team,Field Position,Run %,Pass %
ARI,Backed Up,48% (11/23),52% (12/23)
ARI,Goal Line,71% (17/24),29% (7/24)
ARI,In the Field,40% (361/910),60% (549/910)
ARI,Lower Red Zone,39% (19/49),61% (30/49)
ARI,Upper Red Zone,42% (22/53),58% (31/53)
ATL,Backed Up,62% (18/29),38% (11/29)
ATL,Goal Line,46% (11/24),54% (13/24)
ATL,In the Field,42% (382/906),58% (524/906)
ATL,Lower Red Zone,62% (37/60),38% (23/60)
ATL,Upper Red Zone,53% (32/60),47% (28/60)
BAL,Backed Up,80% (12/15),20% (3/15)
BAL,Goal Line,72% (28/39),28% (11/39)
BAL,In the Field,40% (342/860),60% (518/860)
BAL,Lower Red Zone,52% (36/69),48% (33/69)
BAL,Upper Red Zone,47% (37/79),53% (42/79)
BUF,Backed Up,44% (8/18),56% (10/18)
BUF,Goal Line,70% (30/43),30% (13/43)
BUF,In the Field,38% (338/887),62% (549/887)
BUF,Lower Red Zone,54% (38/70),46% (32/70)
BUF,Upper Red Zone,38% (28/73),62% (45/73)
CAR,Backed Up,39% (11/28),61% (17/28)
CAR,Goal Line,50% (12/24),50% (12/24)
CAR,In the Field,36% (340/948),64% (608/948)
CAR,Lower Red Zone,51% (18/35),49% (17/35)
CAR,Upper Red Zone,50% (28/56),50% (28/56)
CHI,Backed Up,61% (11/18),39% (7/18)
CHI,Goal Line,55% (18/33),45% (15/33)
CHI,In the Field,43% (393/919),57% (526/919)
CHI,Lower Red Zone,40% (19/47),60% (28/47)
CHI,Upper Red Zone,38% (26/68),62% (42/68)
CIN,Backed Up,50% (8/16),50% (8/16)
CIN,Goal Line,52% (21/40),48% (19/40)
CIN,In the Field,30% (257/848),70% (591/848)
CIN,Lower Red Zone,44% (27/61),56% (34/61)
CIN,Upper Red Zone,36% (24/66),64% (42/66)
CLE,Backed Up,29% (9/31),71% (22/31)
CLE,Goal Line,61% (17/28),39% (11/28)
CLE,In the Field,40% (399/996),60% (597/996)
CLE,Lower Red Zone,43% (19/44),57% (25/44)
CLE,Upper Red Zone,47% (34/73),53% (39/73)
DAL,Backed Up,43% (12/28),57% (16/28)
DAL,Goal Line,49% (23/47),51% (24/47)
DAL,In the Field,36% (304/846),64% (542/846)
DAL,Lower Red Zone,40% (34/86),60% (52/86)
DAL,Upper Red Zone,49% (45/92),51% (47/92)
DEN,Backed Up,43% (6/14),57% (8/14)
DEN,Goal Line,52% (16/31),48% (15/31)
DEN,In the Field,39% (315/814),61% (499/814)
DEN,Lower Red Zone,39% (27/69),61% (42/69)
DEN,Upper Red Zone,46% (31/67),54% (36/67)
DET,Backed Up,42% (5/12),58% (7/12)
DET,Goal Line,69% (29/42),31% (13/42)
DET,In the Field,40% (362/908),60% (546/908)
DET,Lower Red Zone,51% (38/74),49% (36/74)
DET,Upper Red Zone,50% (38/76),50% (38/76)
GB,Backed Up,45% (10/22),55% (12/22)
GB,Goal Line,61% (17/28),39% (11/28)
GB,In the Field,37% (304/816),63% (512/816)
GB,Lower Red Zone,40% (26/65),60% (39/65)
GB,Upper Red Zone,44% (46/105),56% (59/105)
HOU,Backed Up,58% (15/26),42% (11/26)
HOU,Goal Line,63% (22/35),37% (13/35)
HOU,In the Field,37% (326/889),63% (563/889)
HOU,Lower Red Zone,44% (28/64),56% (36/64)
HOU,Upper Red Zone,42% (25/59),58% (34/59)
